iter	Passed	Remaining
643	796	440
644	797	439
645	798	437
646	799	436
647	800	434
648	801	433
649	802	432
650	803	430
651	804	429
652	805	427
653	805	426
654	806	424
655	807	423
656	808	422
657	809	421
658	810	419
659	811	418
660	812	416
661	813	415
662	814	414
663	815	412
664	816	411
665	817	410
666	818	408
667	819	407
668	820	405
669	820	404
670	821	402
671	822	401
672	824	400
673	825	399
674	826	397
675	827	396
676	828	395
677	829	393
678	830	392
679	830	391
680	831	389
681	832	388
682	833	386
683	834	385
684	835	384
685	836	382
686	837	381
687	838	380
688	840	379
689	841	378
690	842	376
691	843	375
692	844	374
693	845	372
694	846	371
695	847	369
696	847	368
697	848	367
698	849	365
699	850	364
700	851	363
701	852	361
702	853	360
703	854	359
704	855	358
705	856	356
706	857	355
707	858	354
708	859	352
709	860	351
710	861	350
711	862	348
712	863	347
713	864	346
714	864	344
715	865	343
716	866	342
717	867	340
718	868	339
719	870	338
720	871	337
721	872	336
722	873	334
723	874	333
724	875	332
725	876	330
726	877	329
727	878	328
728	879	326
729	880	325
730	880	324
731	881	322
732	882	321
733	884	320
734	885	319
735	886	317
736	887	316
737	888	315
738	889	314
739	890	313
740	891	311
741	892	310
742	893	309
743	894	307
744	895	306
745	896	305
746	897	303
747	898	302
748	899	301
749	900	300
750	901	298
751	902	297
752	903	296
753	904	295
754	905	293
755	906	292
756	907	291
757	907	289
758	908	288
759	909	287
760	910	286
761	911	284
762	912	283
763	913	282
764	914	280
765	915	279
766	916	278
767	917	277
768	918	275
769	919	274
770	920	273
771	921	272
772	922	270
773	922	269
774	923	268
775	924	266
776	925	265
777	926	264
778	927	263
779	928	261
780	929	260
781	930	259
782	931	258
783	932	256
784	933	255
785	934	254
786	935	253
787	936	251
788	937	250
789	938	249
790	939	248
791	940	246
792	941	245
793	941	244
794	942	243
795	943	241
796	944	240
797	945	239
798	946	238
799	947	236
800	948	235
801	949	234
802	950	233
803	951	231
804	952	230
805	953	229
806	954	228
807	955	227
808	956	225
809	957	224
810	958	223
811	958	222
812	960	220
813	961	219
814	962	218
815	963	217
816	964	216
817	965	214
818	966	213
819	967	212
820	968	211
821	969	209
822	970	208
823	971	207
824	971	206
825	972	204
826	973	203
827	974	202
828	975	201
829	977	200
830	978	198
831	979	197
832	980	196
833	981	195
834	982	194
835	982	192
836	983	191
837	984	190
838	985	189
839	986	187
840	987	186
841	988	185
842	989	184
843	990	183
844	991	181
845	992	180
846	993	179
847	995	178
848	995	177
849	996	175
850	997	174
851	998	173
852	999	172
853	1000	171
854	1001	169
855	1002	168
856	1003	167
857	1004	166
858	1005	165
859	1006	163
860	1008	162
861	1009	161
862	1010	160
863	1010	159
864	1011	157
865	1012	156
866	1013	155
867	1014	154
868	1015	153
869	1016	151
870	1017	150
871	1017	149
872	1018	148
873	1020	147
874	1021	145
875	1022	144
876	1023	143
877	1024	142
878	1025	141
879	1026	139
880	1027	138
881	1028	137
882	1029	136
883	1030	135
884	1031	133
885	1031	132
886	1032	131
887	1033	130
